NAME;LUN;LUN_REDUCED;NAMETYPE;FACE;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;
Lunar formations database V2.1;� Copyright Christian Legrand;
For personal use only;
LEPAUTE K;SF3439S03401W;3439S03401;SF;Face visible;10.5398;-34.3894410981488;325.986475649544;
LEPAUTE L;SF3444S03532W;3444S03532;SF;Face visible;9.05228;-34.4386756441859;324.676262391084;
LETRONNE A;SF1215S03910W;1215S03910;SF;Face visible;7.10817;-12.1482858741506;320.900532480001;
LETRONNE B;SF1127S04130W;1127S04130;SF;Face visible;5.49825;-11.2670978529646;318.696554466311;
LETRONNE C;SF1071S03849W;1071S03849;SF;Face visible;3.44369;-10.7133714857446;321.513859786931;
LETRONNE F;SF0923S04613W;0923S04613;SF;Face visible;7.4454;-9.23208162556849;313.867728944507;
LETRONNE G;SF1269S04664W;1269S04664;SF;Face visible;10.0848;-12.6883902618329;313.355342207906;
LETRONNE H;SF1267S04617W;1267S04617;SF;Face visible;4.18563;-12.6744442867832;313.827004499848;
LETRONNE K;SF1437S04369W;1437S04369;SF;Face visible;7.39466;-14.3738773710334;316.309888428138;
LETRONNE L;SF1432S04429W;1432S04429;SF;Face visible;4.16945;-14.3195242398621;315.706282465911;
LETRONNE M;SF1196S04424W;1196S04424;SF;Face visible;3.91227;-11.9642922314209;315.76070960639;
LETRONNE N;SF1233S03983W;1233S03983;SF;Face visible;3.45682;-12.3271188196785;320.169629180061;
LETRONNE T;SF1248S04277W;1248S04277;SF;Face visible;3.77392;-12.4770382588397;317.227748211103;
LEXELL A;SF3692S00139W;3692S00139;SF;Face visible;33.5921;-36.9199028907259;358.613544284239;
LEXELL B;SF3727S00341W;3727S00341;SF;Face visible;21.626;-37.2682944543704;356.592820634769;
LEXELL D;SF3618S00075W;3618S00075;SF;Face visible;18.473;-36.1755905578871;359.246877158579;
LEXELL E;SF3723S00042W;3723S00042;SF;Face visible;13.0017;-37.2292832734023;359.584810728452;
LEXELL F;SF3656S00538W;3656S00538;SF;Face visible;7.46235;-36.5606260918129;354.624959365808;
LEXELL G;SF3730S00494W;3730S00494;SF;Face visible;9.25622;-37.3034973798451;355.063092531849;
LEXELL H;SF3658S00488W;3658S00488;SF;Face visible;8.97803;-36.5816007013537;355.122466511104;
LEXELL K;SF3598S00648W;3598S00648;SF;Face visible;10.3915;-35.9771436810788;353.519325414515;
LEXELL L;SF3604S00612W;3604S00612;SF;Face visible;7.183;-36.0437959610863;353.884573972272;
LICETUS A;SF4785S00320E;4785S00320;SF;Face visible;8.10463;-47.8509954475697;3.19774878306262;
LICETUS B;SF4650S00483E;4650S00483;SF;Face visible;11.7468;-46.5001468960663;4.83141872157746;
LICETUS C;SF4756S00553E;4756S00553;SF;Face visible;10.3132;-47.5644945909388;5.52696646476518;
LICETUS D;SF4799S00440E;4799S00440;SF;Face visible;5.20536;-47.9898056096932;4.3954050509139;
LICETUS E;SF4462S00184E;4462S00184;SF;Face visible;18.7617;-44.6192559186286;1.84324501514219;
LICETUS F;SF4607S00094E;4607S00094;SF;Face visible;28.8943;-46.0683739009109;0.938559570463263;
LICETUS G;SF4385S00187E;4385S00187;SF;Face visible;10.4228;-43.8452313578142;1.87000410970114;
LICETUS H;SF4598S00311E;4598S00311;SF;Face visible;10.3446;-45.982576387492;3.1110986375563;
LICETUS J;SF4427S00311E;4427S00311;SF;Face visible;10.358;-44.273406723549;3.11350409539459;
LICETUS K;SF4559S00001W;4559S00001;SF;Face visible;5.55236;-45.5858485860142;359.987588767893;
LICETUS L;SF4730S00105E;4730S00105;SF;Face visible;4.15016;-47.3004094266423;1.04827593175258;
LICETUS M;SF4684S00185E;4684S00185;SF;Face visible;8.68579;-46.8435337954733;1.85111613941345;
LICETUS N;SF4557S00221E;4557S00221;SF;Face visible;7.92474;-45.5683458713723;2.20556518221424;
LICETUS P;SF4770S00227E;4770S00227;SF;Face visible;20.182;-47.698401604491;2.27198526900904;
LICETUS Q;SF4725S00968E;4725S00968;SF;Face visible;8.24971;-47.2505938196055;9.68070840807327;
LICETUS R;SF4529S00384E;4529S00384;SF;Face visible;6.39032;-45.2947003682208;3.84043027225333;
LICETUS S;SF4528S00817E;4528S00817;SF;Face visible;10.4319;-45.2848414547337;8.17302228872931;
LICETUS T;SF4589S00661E;4589S00661;SF;Face visible;7.32714;-45.8850788237666;6.60951889034232;
LICETUS U;SF4703S00744E;4703S00744;SF;Face visible;6.55502;-47.0336440558866;7.43820810785239;
LICETUS W;SF4599S00850E;4599S00850;SF;Face visible;7.21299;-45.9864033900135;8.50352241222139;
LICHTENBERG A;SF2897N06011W;2897N06011;SF;Face visible;6.86869;28.9699799092517;299.887744106225;
LICHTENBERG B;SF3325N06152W;3325N06152;SF;Face visible;4.86424;33.2534793502131;298.479378863997;
LICHTENBERG F;SF3319N06545W;3319N06545;SF;Face visible;5.19133;33.1928621605494;294.549869764777;
LICHTENBERG H;SF3152N05890W;3152N05890;SF;Face visible;4.1827;31.515808628548;301.097228333532;
LICHTENBERG R;SF3458N07006W;3458N07006;SF;Face visible;30.2613;34.5787711065193;289.942818774556;
LICK A;SF1148N05284E;1148N05284;SF;Face visible;24.3994;11.4833406254094;52.8416308997009;
LICK B;SF1114N05141E;1114N05141;SF;Face visible;21.155;11.1407644402667;51.4057155336591;
LICK C;SF1148N05192E;1148N05192;SF;Face visible;8.2797;11.4782028216723;51.9226949165551;
LICK E;SF1062N05065E;1062N05065;SF;Face visible;7.81522;10.6192697293527;50.6478586263919;
LICK F;SF1004N05006E;1004N05006;SF;Face visible;22.1362;10.0431427944042;50.0620333997296;
LICK G;SF1007N05092E;1007N05092;SF;Face visible;4.77871;10.0738885924964;50.9205859704609;
LICK K;SF1017N05279E;1017N05279;SF;Face visible;4.79382;10.1651762862146;52.7922022820855;
LICK L;SF0872N04910E;0872N04910;SF;Face visible;5.90955;8.72359373816803;49.1011899481589;
LICK N;SF0967N04790E;0967N04790;SF;Face visible;23.5118;9.66518328845575;47.9015415132429;
LIEBIG A;SF2428S04775W;2428S04775;SF;Face visible;11.0883;-24.2796817332793;312.249864163527;
LIEBIG B;SF2501S04715W;2501S04715;SF;Face visible;8.7047;-25.0138773607788;312.846612331912;
